id,eps,codigo_cups,descripcion,tarifa
177,EMSSANAR_CAPITA,902217,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ],
178,EMSSANAR_CAPITA,902221,RECUENTO DE PLAQUETAS MANUAL,
179,EMSSANAR_CAPITA,902223,RECUENTO DE RETICULOCITOS METODO MANUAL,
180,EMSSANAR_CAPITA,903803,ALBUMINA EN SUERO U OTROS FLUIDOS,
181,EMSSANAR_CAPITA,903805,AMILASA EN SUERO U OTROS FLUIDOS,
182,EMSSANAR_CAPITA,903809,BILIRRUBINAS TOTAL Y DIRECTA,
183,EMSSANAR_CAPITA,903826,CUERPOS CETONICOS O CETONAS EN ORINA,
184,EMSSANAR_CAPITA,903840,GLUCOSA EN ORINA,
185,EMSSANAR_CAPITA,903841,GLUCOSA EN SUERO U OTRO FLUIDO DIFERENTE A ORINA,
186,EMSSANAR_CAPITA,903842,GLUCOSA PRE Y POST CARGA DE GLUCOSA,
187,EMSSANAR_CAPITA,903843,GLUCOSA PRE Y POST PRANDIAL,
188,EMSSANAR_CAPITA,903844,GLUCOSA CURVA DE TOLERANCIA. -- EXCY : 90. 3. 8. 84 - 90. 3. 8. 85 - 90. 3. 8. 86 - 90. 3. 8. 87 - 90. 3. 8. 88 - 90. 3. 8. 89 - 90. 3. 8. 90 - 90. 3. 8. 91 - 90. 3. 8. 92 - 90. 3. 8. 93 Y 90. 3. 8. 94,
189,EMSSANAR_CAPITA,903856,NITROGENO UREICO,
190,EMSSANAR_CAPITA,903859,POTASIO EN SUERO U OTROS FLUIDOS,
191,EMSSANAR_CAPITA,903864,SODIO EN SUERO U OTROS FLUIDOS,
192,EMSSANAR_CAPITA,903883,GLUCOSA SEMIAUTOMATIZADA [ GLUCOMETRIA ],
193,EMSSANAR_CAPITA,904902,HORMONA ESTIMULANTE DEL TIROIDES,
194,EMSSANAR_CAPITA,906039,TREPONEMA PALLIDUM ANTICUERPOS ( PRUEBA TREPONEMICA ) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA,
195,EMSSANAR_CAPITA,906914,PROTEINA C REACTIVA MANUAL O SEMIAUTOMATIZADO,
196,EMSSANAR_CAPITA,906915,PRUEBA NO TREPONEMICA MANUAL,
197,EMSSANAR_CAPITA,907002,COPROLOGICO,
198,EMSSANAR_CAPITA,907003,COPROLOGICO POR CONCENTRACION,
199,EMSSANAR_CAPITA,907004,COPROSCOPICO. -- INCY : PH - SANGRE OCULTA - AZUCARES REDUCTORES - ACTIVIDAD DE TRIPSINA Y PARASITOS,
