id,cups,procedimiento
296,907002,COOMBS DIRECTO FRACCIONADO MONOESPECIFICO ( INMUNOGLOBULINAS Y FRACCIONES DEL COMPLEMENTO ) EN TUBO
297,907003,COOMBS DIRECTO CUALITATIVO POR MICROTECNICA
298,907004,COOMBS DIRECTO CUALITATIVO EN TUBO
299,907005,HEMOCLASIFICACION SISTEMA RH [ ANTIGENO RH D ] POR MICROTECNICA
300,907008,HEMOCLASIFICACION SISTEMA RH [ ANTIGENO RH D ] EN TUBO
301,907009,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] POR MICROTECNICA
302,907106,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] EN TUBO
303,907107,HEMOCLASIFICACION SISTEMA ABO INVERSA [ HEMOCLASIFICACION SERICA ] POR MICROTECNICA
304,907202,MOCO CERVICAL ANALISIS (TEST DE HELECHO)
305,908856,HEMOCLASIFICACION SISTEMA ABO INVERSA [ HEMOCLASIFICACION SERICA ] EN TUBO
306,911007,TERAPIA RESPIRATORIA INTEGRAL. -- INCY : PERCUSION - VIBRACION - DRENAJE POSTURAL - SUCCION - MICRONEBULIZACION - ACELERADOR DE FLUJO - TOS ASISTIDA O EJERCICIOS RESPIRATORIOS
307,911008,TERAPIA FISICA INTEGRAL. -- INCY : ACTIVIDADES PROPIAS A EJECUTAR EN LOS COMPONENTES SENSORIOMOTORES DEL DESEMPEAO - EJERCICIOS TERAPEUTICOS - ESTIMULACION - MECANOTERAPIA - MEDIOS FISICOS ( HIDROTERAPIA - CRIOTERAPIA - CALOR HUMEDO ) - ELECTROTERAPIA ( B
308,911009,RADIOGRAFIA DE CRANEO SIMPLE
309,911010,RADIOGRAFIA DE CARA ( PERFILOGRAMA ). -- INCY : CON CEFALOSTATO
310,911015,RADIOGRAFIA DE SENOS PARANASALES
311,911016,RADIOGRAFIA DE COLUMNA TORACICA
312,911017,RADIOGRAFIA DE COLUMNA LUMBOSACRA
313,911018,RADIOGRAFIA DE TORAX ( P. A. O A. P. Y LATERAL - DECUBITO LATERAL - OBLICUAS O LATERAL )
314,911019,RADIOGRAFIA DE ABDOMEN SIMPLE
315,911020,RADIOGRAFIA DE HUMERO
316,931001,RADIOGRAFIA DE PIE ( AP - LATERAL Y OBLICUA )
317,933701,ENTRENAMIENTO PRE - PERI Y POST PARTO
318,935001,TAPONAMIENTO VAGINAL
319,935101,INSERCION DE DISPOSITIVO EN URETRA
320,935301,LAVADO GASTRICO PARA HIPOTERMIA O CONGELACION GASTRICA
321,935302,IRRIGACION Y LAVADO DEL OJO
322,935303,APLICACION O CAMBIO DE YESO O ARNES TORACOLUMBOSACRO
323,935304,LAVADO E IRRIGACION DE OIDOS
324,935305,SUSTITUCION DE TAPON NASAL
325,935306,EXTRACCION DE TAPON NASAL
326,935401,APLICACION DE FERULA
327,935701,RETIRO DE SUTURAS DE CABEZA Y CUELLO ( RETIRO DE PUNTOS )
328,935901,APLICACION DE VENDAJE DE VELPEAU
329,936801,RETIRO DE SUTURAS DE TORAX ( RETIRO DE PUNTOS )
330,939401,MEDICACION RESPIRATORIA ADMINISTRADA MEDIANTE NEBULIZACION (AEROSOLTERAPIA)
331,939402,EXTRACCION DE TAPON ( MECHA ) VAGINAL O VULVAR
332,939403,RADIOGRAFIA DE PUAO O MUAECA
333,943102,VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B - DIFTERIA - TETANOS - TOS FERINA Y HEPATITIS B ( PENTAVALENTE )
334,944002,VACUNACION CONTRA POLIOMIELITIS ( VOP O IVP )
335,944102,VACUNACION CONTRA HEPATITIS A
336,944202,VACUNACION CONTRA HEPATITIS B
337,950601,OBTURACION TEMPORAL POR DIENTE
338,960201,INSERCION DE VIA AEREA OROFARINGEA
339,960701,INSERCION DE OTRO TUBO O SONDA NASO-GASTRICA ( INTUBACION PARA DECOMPRESION )
340,961401,EXTRACCION DE SUTURAS DE PARED ABDOMINAL
341,961601,EXTRACCION SIN INCISION DE CUERPO EXTRAAO DE CONDUCTO AUDITIVO EXTERNO
342,963101,EXTRACCION SIN INCISION DE CUERPO EXTRAAO INTRALUMINAL DE LA VAGINA
