id,cups,procedimiento,ide
8997,13343,Reseccion tumor maligno huesos pelvis,8966
10309,1335,Tratamiento de diastematomielia,8967
8147,13350,Reduccion cerrada fractura pelvis,8968
8024,13360,Reduccion abierta fractura pelvis,8969
6939,13370,Osteosintesis de acetabulo. reborde posterior,8970
6938,13371,Osteosintesis de acetabulo. compuesta (anterior. posterior y superior),8971
5052,13380,Hemipelvectomia,8972
2693,13381,Desarticulacion de la cadera,8973
3123,13400,Drenaje. curetaje. secuestrectomia. de femur,8974
3126,13401,Drenaje. curetaje. secuestrectomia. de rotula,8975
6057,1341,Lesion estereotaxia de la medula percutanea. cualquier modalidad. inclusive estimulacion y/o registro,8976
4147,13410,Extraccion cuerpo extrano de femur,8977
4152,13411,Extraccion cuerpo extrano de rotula,8978
4345,13412,Extraccion no quirurgica de material de osteosintesis. en muslo o rodilla,8979
4373,13413,Extraccion quirurgica de material de osteosintesis. en muslo o rodilla,8980
3764,1342,Estimulacion estereotaxica de la medula. percutanea o procedimiento separado no seguido de cirugia,8981
7045,13420,Osteotomia simple de femur,8982
5027,13421,Hemidiafisectomia en femur,8983
7006,13422,Osteotomia del cuello femoral,8984
5388,1343,Implantacion percutanea de electrodos de neuroestimulacion. epidural o intradural,8985
7185,13430,Patelectomia o hemipatelectomia,8986
5959,1344,Laminectomia para implantacion de electrodos de neuroestimulacion. extradurales,8987
5647,13440,Injerto oseo en femur,8988
9136,13441,Revision y/o reconstruccion de munon de amputacion muslo,8989
8967,13442,Reseccion tumor benigno femur,8990
8974,13443,Reseccion tumor benigno rotula,8991
8995,13444,Reseccion tumor maligno femur,8992
9002,13445,Reseccion tumor maligno rotula,8993
2133,1344788,Control de hematologia kit,11169
5960,1345,Laminectomia para implantacion de electrodos de neuroestimulacion. intradurales,8994
8143,13450,Reduccion cerrada fractura femur,8995
8149,13451,Reduccion cerrada fractura rotula,2429
